face_detected,face_center_x,face_center_y,face_size,head_tilt,eye_contact_score,shoulder_level,body_visible,mouth_open,label
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
0,0.5,0.5,0,0,0,0,1,0,bad
0,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,bad
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
1,0.5,0.5,0,0,0,0,1,0,good
